raceId,driverId,stop,lap,duration,milliseconds
844,30,1,2,724:22:05,30182
844,808,1,8,514:07:41,21422
844,13,1,9,528:31:41,22022
844,1,1,9,499:59:31,20833
844,67,1,9,522:27:22,21769
844,17,1,10,505:12:00,21050
844,4,1,10,511:23:31,21308
844,3,1,10,541:45:07,22573
844,2,1,10,535:12:00,22300
844,22,1,10,545:12:29,22717
844,16,1,10,519:34:34,21649
844,20,1,11,494:57:07,20623
844,814,1,11,498:36:00,20775
844,813,1,11,573:08:38,23881
844,18,1,13,512:49:55,21368
844,155,1,13,523:40:48,21820
844,153,1,13,545:06:43,22713
844,15,1,13,553:35:02,23066
844,30,2,14,501:46:05,20907
844,39,1,14,656:28:19,27353
844,5,1,15,548:29:46,22854
844,24,1,15,591:12:58,24634
844,815,2,16,549:28:48,22895
844,816,1,16,546:41:46,22779
844,24,2,16,1358:39:50,56611
844,808,2,19,511:45:07,21323
844,1,2,20,505:48:00,21075
844,17,2,21,490:06:14,20421
844,3,2,22,502:14:53,20927
844,2,2,22,526:03:22,21919
844,4,2,23,521:34:05,21732
844,13,2,23,511:43:41,21322
844,67,2,23,531:04:19,22128
844,155,2,23,562:55:12,23455
844,22,2,24,548:49:55,22868
844,814,2,24,502:19:12,20930
844,20,2,25,482:41:17,20112
844,16,2,25,506:00:58,21084
844,813,2,25,541:19:12,22555
844,15,2,25,548:41:17,22862
844,18,2,26,543:20:10,22639
844,39,2,27,599:05:17,24962
844,153,2,29,523:49:26,21826
844,30,3,30,489:05:46,20379
844,5,2,31,519:11:31,21633
844,814,3,32,501:17:17,20887
844,815,3,32,536:45:36,22365
844,3,3,33,502:46:34,20949
844,1,3,34,856:30:43,35688
844,816,2,33,596:05:17,24837
844,808,3,34,524:06:43,21838
844,13,3,34,563:18:14,23471
844,17,3,35,500:13:55,20843
844,4,3,36,520:50:53,21702
844,2,3,36,500:55:41,20872
844,24,3,35,603:00:00,25125
844,155,3,38,538:56:38,22456
844,18,3,39,514:00:29,21417
844,153,3,39,527:39:50,21986
844,20,3,40,489:14:24,20385
844,15,3,39,533:15:22,22219
844,67,3,40,528:46:05,22032
844,22,3,40,520:29:17,21687
844,16,3,40,504:08:38,21006
844,24,4,37,1046:28:19,43603
844,813,3,41,523:50:53,21827
844,815,4,42,521:09:36,21715
844,3,4,44,487:23:31,20308
844,814,4,44,513:40:19,21403
844,17,4,45,530:05:17,22087
844,808,4,45,519:53:17,21662
844,30,4,45,494:19:41,20597
