date_id,full_date,day,month,month_name,quarter,year,weekday,weekday_name,is_weekend,is_holiday
20050821,2005-08-21,21,8,August,3,2005,7,Sunday,True,False
20050904,2005-09-04,4,9,September,3,2005,7,Sunday,True,False
20050911,2005-09-11,11,9,September,3,2005,7,Sunday,True,False
20050925,2005-09-25,25,9,September,3,2005,7,Sunday,True,False
20051009,2005-10-09,9,10,October,4,2005,7,Sunday,True,False
20051016,2005-10-16,16,10,October,4,2005,7,Sunday,True,False
20040307,2004-03-07,7,3,March,1,2004,7,Sunday,True,False
20040321,2004-03-21,21,3,March,1,2004,7,Sunday,True,False
20040404,2004-04-04,4,4,April,2,2004,7,Sunday,True,False
20040425,2004-04-25,25,4,April,2,2004,7,Sunday,True,False
20040509,2004-05-09,9,5,May,2,2004,7,Sunday,True,False
20040523,2004-05-23,23,5,May,2,2004,7,Sunday,True,False
20040530,2004-05-30,30,5,May,2,2004,7,Sunday,True,False
20040613,2004-06-13,13,6,June,2,2004,7,Sunday,True,False
20040620,2004-06-20,20,6,June,2,2004,7,Sunday,True,False
20040704,2004-07-04,4,7,July,3,2004,7,Sunday,True,False
20040711,2004-07-11,11,7,July,3,2004,7,Sunday,True,False
20040725,2004-07-25,25,7,July,3,2004,7,Sunday,True,False
20040815,2004-08-15,15,8,August,3,2004,7,Sunday,True,False
20040829,2004-08-29,29,8,August,3,2004,7,Sunday,True,False
20040912,2004-09-12,12,9,September,3,2004,7,Sunday,True,False
20040926,2004-09-26,26,9,September,3,2004,7,Sunday,True,False
20041010,2004-10-10,10,10,October,4,2004,7,Sunday,True,False
20041024,2004-10-24,24,10,October,4,2004,7,Sunday,True,False
20030309,2003-03-09,9,3,March,1,2003,7,Sunday,True,False
20030323,2003-03-23,23,3,March,1,2003,7,Sunday,True,False
20030406,2003-04-06,6,4,April,2,2003,7,Sunday,True,False
20030420,2003-04-20,20,4,April,2,2003,7,Sunday,True,False
20030504,2003-05-04,4,5,May,2,2003,7,Sunday,True,False
20030518,2003-05-18,18,5,May,2,2003,7,Sunday,True,False
20030601,2003-06-01,1,6,June,2,2003,7,Sunday,True,False
20030615,2003-06-15,15,6,June,2,2003,7,Sunday,True,False
20030629,2003-06-29,29,6,June,2,2003,7,Sunday,True,False
20030706,2003-07-06,6,7,July,3,2003,7,Sunday,True,False
20030720,2003-07-20,20,7,July,3,2003,7,Sunday,True,False
20030803,2003-08-03,3,8,August,3,2003,7,Sunday,True,False
20030824,2003-08-24,24,8,August,3,2003,7,Sunday,True,False
20030914,2003-09-14,14,9,September,3,2003,7,Sunday,True,False
20030928,2003-09-28,28,9,September,3,2003,7,Sunday,True,False
20031012,2003-10-12,12,10,October,4,2003,7,Sunday,True,False
20020303,2002-03-03,3,3,March,1,2002,7,Sunday,True,False
20020317,2002-03-17,17,3,March,1,2002,7,Sunday,True,False
20020331,2002-03-31,31,3,March,1,2002,7,Sunday,True,False
20020414,2002-04-14,14,4,April,2,2002,7,Sunday,True,False
20020428,2002-04-28,28,4,April,2,2002,7,Sunday,True,False
20020512,2002-05-12,12,5,May,2,2002,7,Sunday,True,False
20020526,2002-05-26,26,5,May,2,2002,7,Sunday,True,False
20020609,2002-06-09,9,6,June,2,2002,7,Sunday,True,False
20020623,2002-06-23,23,6,June,2,2002,7,Sunday,True,False
20020707,2002-07-07,7,7,July,3,2002,7,Sunday,True,False
20020721,2002-07-21,21,7,July,3,2002,7,Sunday,True,False
20020728,2002-07-28,28,7,July,3,2002,7,Sunday,True,False
20020818,2002-08-18,18,8,August,3,2002,7,Sunday,True,False
20020901,2002-09-01,1,9,September,3,2002,7,Sunday,True,False
20020915,2002-09-15,15,9,September,3,2002,7,Sunday,True,False
20020929,2002-09-29,29,9,September,3,2002,7,Sunday,True,False
20021013,2002-10-13,13,10,October,4,2002,7,Sunday,True,False
20010304,2001-03-04,4,3,March,1,2001,7,Sunday,True,False
20010318,2001-03-18,18,3,March,1,2001,7,Sunday,True,False
20010401,2001-04-01,1,4,April,2,2001,7,Sunday,True,False
20010415,2001-04-15,15,4,April,2,2001,7,Sunday,True,False
20010429,2001-04-29,29,4,April,2,2001,7,Sunday,True,False
20010513,2001-05-13,13,5,May,2,2001,7,Sunday,True,False
20010527,2001-05-27,27,5,May,2,2001,7,Sunday,True,False
20010610,2001-06-10,10,6,June,2,2001,7,Sunday,True,False
20010624,2001-06-24,24,6,June,2,2001,7,Sunday,True,False
20010701,2001-07-01,1,7,July,3,2001,7,Sunday,True,False
20010715,2001-07-15,15,7,July,3,2001,7,Sunday,True,False
20010729,2001-07-29,29,7,July,3,2001,7,Sunday,True,False
20010819,2001-08-19,19,8,August,3,2001,7,Sunday,True,False
20010902,2001-09-02,2,9,September,3,2001,7,Sunday,True,False
20010916,2001-09-16,16,9,September,3,2001,7,Sunday,True,False
20010930,2001-09-30,30,9,September,3,2001,7,Sunday,True,False
20011014,2001-10-14,14,10,October,4,2001,7,Sunday,True,False
20000312,2000-03-12,12,3,March,1,2000,7,Sunday,True,False
20000326,2000-03-26,26,3,March,1,2000,7,Sunday,True,False
20000409,2000-04-09,9,4,April,2,2000,7,Sunday,True,False
20000423,2000-04-23,23,4,April,2,2000,7,Sunday,True,False
20000507,2000-05-07,7,5,May,2,2000,7,Sunday,True,False
20000521,2000-05-21,21,5,May,2,2000,7,Sunday,True,False
20000604,2000-06-04,4,6,June,2,2000,7,Sunday,True,False
20000618,2000-06-18,18,6,June,2,2000,7,Sunday,True,False
20000702,2000-07-02,2,7,July,3,2000,7,Sunday,True,False
20000716,2000-07-16,16,7,July,3,2000,7,Sunday,True,False
20000730,2000-07-30,30,7,July,3,2000,7,Sunday,True,False
20000813,2000-08-13,13,8,August,3,2000,7,Sunday,True,False
20000827,2000-08-27,27,8,August,3,2000,7,Sunday,True,False
20000910,2000-09-10,10,9,September,3,2000,7,Sunday,True,False
20000924,2000-09-24,24,9,September,3,2000,7,Sunday,True,False
20001008,2000-10-08,8,10,October,4,2000,7,Sunday,True,False
20001022,2000-10-22,22,10,October,4,2000,7,Sunday,True,False
19990307,1999-03-07,7,3,March,1,1999,7,Sunday,True,False
19990411,1999-04-11,11,4,April,2,1999,7,Sunday,True,False
19990502,1999-05-02,2,5,May,2,1999,7,Sunday,True,False
19990516,1999-05-16,16,5,May,2,1999,7,Sunday,True,False
19990530,1999-05-30,30,5,May,2,1999,7,Sunday,True,False
19990613,1999-06-13,13,6,June,2,1999,7,Sunday,True,False
19990627,1999-06-27,27,6,June,2,1999,7,Sunday,True,False
19990711,1999-07-11,11,7,July,3,1999,7,Sunday,True,False
19990725,1999-07-25,25,7,July,3,1999,7,Sunday,True,False
19990801,1999-08-01,1,8,August,3,1999,7,Sunday,True,False
19990815,1999-08-15,15,8,August,3,1999,7,Sunday,True,False
19990829,1999-08-29,29,8,August,3,1999,7,Sunday,True,False
19990912,1999-09-12,12,9,September,3,1999,7,Sunday,True,False
19990926,1999-09-26,26,9,September,3,1999,7,Sunday,True,False
19991017,1999-10-17,17,10,October,4,1999,7,Sunday,True,False
19991031,1999-10-31,31,10,October,4,1999,7,Sunday,True,False
19980308,1998-03-08,8,3,March,1,1998,7,Sunday,True,False
